primary_label_id,n_tasks,n_core_tasks,n_occupations,salience_weight,mean_importance,mean_relevance,salience_share,n_scored_units,scored_units,coverage_tier
inspect_evaluate_and_verify_compliance_and_performance,1365,1060,464,4227.840158,3.9850118389897395,85.34696921862668,0.1663470550679646,2,bench_legalbench_issue_spotting;bench_legalbench_rule_application,coverage_moderate
develop_and_maintain_instructional_and_operational_documents,1248,1032,421,4072.8261535,3.9905673158340385,87.78282811176969,0.16024793065000992,1,bench_officebench_core,coverage_weak
consult_and_coordinate_with_others,588,478,352,1873.294958,3.8977378815080788,87.39827648114901,0.07370597938697342,0,,coverage_missing
supervise_and_coordinate_work,654,470,328,1847.357978,3.922922077922078,80.14415584415585,0.07268547244273792,0,,coverage_missing
advise_and_counsel_people,555,448,300,1817.513677,3.977666666666667,86.69414814814814,0.0715112294731881,0,,coverage_missing
analyze_and_interpret_data_for_decisions,546,444,281,1775.684813,4.030770791075051,88.98839756592292,0.06986544626398325,5,bench_browsecomp_core;bench_financebench_core;bench_gaia_core;bench_legalbench_rhetorical_analysis;bench_legalbench_rule_application,coverage_broad
maintain_and_record_operational_information,382,330,285,1337.0691,4.144986301369864,89.19194520547946,0.052607832580073115,4,bench_medagentbench_core;bench_osworld_core;bench_webarena_core;bench_workarena_core,coverage_broad
prepare_reports_and_presentations,341,268,263,1071.085412,4.0023028391167195,85.623785488959,0.042142535515520205,1,bench_officebench_core,coverage_weak
create_and_update_visual_and_technical_drawings,333,255,145,989.5410705,3.9168370607028753,82.97376996805112,0.03893412163063998,0,,coverage_missing
design_and_develop_technical_systems_and_applications,380,255,144,975.322751,3.6962962962962966,79.00037037037038,0.038374692823388366,1,bench_apex_swe_core,coverage_weak
assess_eligibility_or_financial_status,297,186,114,811.2322624999999,4.075111111111111,77.65666666666667,0.0319184483802325,0,,coverage_missing
assess_and_restore_environmental_conditions,268,175,82,667.164906,3.556124031007752,77.7087984496124,0.026250026777335754,0,,coverage_missing
estimate_costs_and_manage_budgets,201,144,146,558.934762,3.829569892473118,81.78940860215053,0.021991643051566305,0,,coverage_missing
develop_and_execute_outreach_campaigns_for_external_support,191,130,118,487.4033545,3.6336312849162007,78.61893854748604,0.019177194411644116,0,,coverage_missing
recommend_process_improvements,152,113,115,429.064822,3.7100719424460435,85.17503597122302,0.01688182781411587,0,,coverage_missing
select_materials_by_properties,151,107,89,410.979737,3.6772340425531915,82.0945390070922,0.016170258663444157,0,,coverage_missing
conduct_scientific_research,148,107,104,407.2265745,3.727872340425532,80.62113475177306,0.016022588102180116,0,,coverage_missing
select_and_place_people_into_roles,130,92,74,356.771994,3.811803278688525,80.80868852459017,0.01403742060123209,0,,coverage_missing
negotiate_contracts_and_terms,133,91,73,352.488709,3.8300775193798446,76.22627906976744,0.013868892033656384,0,,coverage_missing
assess_and_grade_work,82,75,50,323.789728,4.302469135802469,93.62024691358025,0.012739712406614897,0,,coverage_missing
present_evidence_in_hearings,81,59,45,239.3809595,4.087236842105263,80.30039473684211,0.009418595822933357,0,,coverage_missing
prescribe_treatments_and_medications,49,43,36,188.970002,4.418913043478261,92.32326086956522,0.0074351446966144695,1,bench_medagentbench_core,coverage_weak
facilitate_group_discussions,31,31,31,133.240216,4.366129032258065,98.38516129032259,0.005242420886295839,0,,coverage_missing
compile_subject_bibliographies,32,17,29,61.595918499999996,3.1396875,74.7609375,0.0024235305176552417,0,,coverage_missing
