primary_label_id,auto_label_v2,n_tasks,n_occupations,salience_weighted_n,mean_importance,n_soft_assigned_noise,share_of_frozen_label
analyze_data_for_decisions,Analyze statistical data,25,7,12.5,4.0505,11,0.03026634382566586
analyze_data_for_decisions,Analyze investment risk,22,3,11.0,3.1750000000000003,0,0.026634382566585957
analyze_data_for_decisions,Improve animal production,18,5,9.0,3.8049999999999997,2,0.021791767554479417
analyze_data_for_decisions,Plan marketing campaigns,18,4,9.0,3.836,5,0.021791767554479417
analyze_data_for_decisions,Analyze economic trends,15,3,7.5,3.880666666666667,4,0.018159806295399514
analyze_data_for_decisions,Assess industrial impacts,15,1,7.5,3.55,0,0.018159806295399514
analyze_data_for_decisions,Conduct biological research,14,2,7.0,3.7564285714285717,0,0.01694915254237288
analyze_data_for_decisions,Deliver business intelligence,14,3,7.0,3.957857142857143,2,0.01694915254237288
analyze_data_for_decisions,Model water systems,14,2,7.0,3.7285714285714286,0,0.01694915254237288
analyze_data_for_decisions,Plan transportation systems,14,4,7.0,3.8530769230769235,4,0.01694915254237288
analyze_data_for_decisions,Administer compensation benefits,13,5,6.5,3.5938461538461537,0,0.015738498789346248
analyze_data_for_decisions,Coordinate logistics services,12,2,6.0,3.6016666666666666,0,0.014527845036319613
analyze_data_for_decisions,Manage financial operations,12,3,6.0,3.9166666666666665,0,0.014527845036319613
analyze_data_for_decisions,Analyze earth systems,11,2,5.5,3.6727272727272724,0,0.013317191283292978
analyze_data_for_decisions,Optimize chemical processes,11,6,5.5,3.878181818181818,3,0.013317191283292978
analyze_data_for_decisions,Study water resources,11,3,5.5,3.34,0,0.013317191283292978
analyze_data_for_decisions,Advance academic research,10,6,5.0,3.8729999999999998,6,0.012106537530266344
analyze_data_for_decisions,Improve energy efficiency,10,2,5.0,3.9560000000000004,0,0.012106537530266344
analyze_data_for_decisions,Manage construction projects,10,4,5.0,3.504,0,0.012106537530266344
analyze_data_for_decisions,Optimize manufacturing processes,10,4,5.0,3.604,0,0.012106537530266344
analyze_data_for_decisions,Procure farm products,10,3,5.0,3.5269999999999997,0,0.012106537530266344
analyze_data_for_decisions,Appraise property value,9,2,4.5,3.948888888888889,0,0.010895883777239709
analyze_data_for_decisions,Conduct scientific research,9,2,4.5,3.836666666666667,0,0.010895883777239709
analyze_data_for_decisions,Draft engineering plans,9,3,4.5,3.521111111111111,4,0.010895883777239709
analyze_data_for_decisions,Improve production methods,9,2,4.5,3.6,0,0.010895883777239709
analyze_data_for_decisions,Manage agricultural production,9,3,4.5,3.6271428571428572,2,0.010895883777239709
analyze_data_for_decisions,Process financial records,9,4,4.5,4.131111111111111,2,0.010895883777239709
analyze_data_for_decisions,Repair electromechanical systems,9,3,4.5,3.4642857142857144,0,0.010895883777239709
analyze_data_for_decisions,Supervise field crews,9,7,4.5,3.942857142857143,0,0.010895883777239709
analyze_data_for_decisions,Support network systems,9,4,4.5,3.6100000000000003,0,0.010895883777239709
analyze_data_for_decisions,Analyze laboratory samples,8,5,4.0,4.45875,1,0.009685230024213076
analyze_data_for_decisions,Build robotic systems,8,2,4.0,3.68125,5,0.009685230024213076
analyze_data_for_decisions,Coordinate production supply,8,3,4.0,3.652857142857143,0,0.009685230024213076
analyze_data_for_decisions,Design biomedical systems,8,2,4.0,3.5225,5,0.009685230024213076
analyze_data_for_decisions,Evaluate insurance claims,8,4,4.0,4.26375,0,0.009685230024213076
analyze_data_for_decisions,Improve soil systems,8,2,4.0,3.37875,0,0.009685230024213076
analyze_data_for_decisions,Investigate fraud,8,4,4.0,4.175,0,0.009685230024213076
analyze_data_for_decisions,Oversee engineering projects,8,3,4.0,3.6149999999999998,2,0.009685230024213076
analyze_data_for_decisions,Track logistics flow,8,1,4.0,3.8275,0,0.009685230024213076
